global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level,fixed_question_text
1,101,1,1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
2,101,2,1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
3,101,3,1,Who helps Tom?,his teacher,his friend,his sister,his father,his teacher,Detail,1,FALSE,0,1,Who helps Tom?
4,101,4,1,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
5,102,5,2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
6,102,6,2,What does Max like to do?,sleep,run and play,eat,bark loudly,run and play,Detail,1,FALSE,0,1,What does Max like to do?
7,102,7,2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
8,102,8,2,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,I Have a dog.,A Day at the Beach,I Have a dog.,Vocabulary,1,FALSE,0,1,What is the best title for this passage?
9,103,9,3,Which statement best summarizes this passage?,It explains the sun is yellow..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains the sun is yellow..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
10,201,1,1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i had a red pencil i liked very much..,It explains i had a red pencil i liked very much..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
11,201,2,1,Where did the writer look for the pencil?,in the desk,in the bag,in the garden,on the bed,in the desk,Detail,1,FALSE,0,2,Where did the writer look for the pencil?
12,201,3,1,Who found the pencil?,Sam,Mom,Tom,Lucy,Sam,Detail,1,FALSE,0,2,Who found the pencil?
13,201,4,1,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
14,202,5,2,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
15,202,6,2,How did Lucy feel at first?,shy,angry,happy,tired,shy,Detail,1,FALSE,0,2,How did Lucy feel at first?
16,202,7,2,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
17,202,8,2,What is the best title for this passage?,Why Rules Matter,A New student came to our,A Day at the Beach,How to Build a Robot,A New student came to our,Literal,1,FALSE,0,2,What is the best title for this passage?
18,203,9,3,What broke the kite string?,the wind,a bird,Tom,a tree,the wind,Literal,1,FALSE,0,2,What broke the kite string?
19,203,10,3,Where did the kite fall?,into a tree,on the ground,into the water,on the roof,into a tree,Detail,1,FALSE,0,2,Where did the kite fall?
20,203,11,3,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom’s kite flew high in the sky..,It explains tom’s kite flew high in the sky..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
21,203,12,3,What did they do after fixing it?,flew it again,went home,sold it,painted it,flew it again,Sequence,1,FALSE,0,2,What did they do after fixing it?
22,204,13,4,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i woke up late this morning..,It explains i woke up late this morning..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
23,204,14,4,Who reminded the writer about the backpack?,Mom,Dad,Teacher,Friend,Mom,Detail,1,FALSE,0,2,Who reminded the writer about the backpack?
24,204,15,4,What did the writer almost forget?,backpack,shoes,homework,jacket,backpack,Detail,1,FALSE,0,2,What did the writer almost forget?
25,204,16,4,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
26,205,17,5,Who is Mrs. Lee?,neighbor,teacher,friend,aunt,neighbor,Literal,2,FALSE,0,2,Who is Mrs. Lee?
27,205,18,5,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mrs..,It explains mrs..,Literal,2,FALSE,0,2,", 'What is the main idea of the passage about nan?"
28,205,19,5,What does the writer do when Mrs. Lee is away?,waters plants,feeds cats,picks apples,cleans house,waters plants,Detail,2,FALSE,0,2,What does the writer do when Mrs. Lee is away?
29,205,20,5,How does Mrs. Lee feel about the writer?,happy,angry,sad,bored,happy,Inference,2,FALSE,0,2,How does Mrs. Lee feel about the writer?
30,206,21,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
31,206,22,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
32,206,23,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
33,206,24,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
34,207,25,7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
35,207,26,7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
36,207,27,7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
37,207,28,7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
38,208,29,8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
39,208,30,8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
40,208,31,8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
41,208,32,8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
42,209,33,9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
43,209,34,9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
44,209,35,9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
45,209,36,9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
46,210,37,10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
47,210,38,10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
48,210,39,10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
49,210,40,10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
50,211,41,11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
51,211,42,11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
52,211,43,11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
53,211,44,11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
54,212,45,12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
55,212,46,12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
56,212,47,12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
57,212,48,12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
58,213,49,13,Which statement best summarizes this passage?,It argues that homework should be banned.,It explains how our class ran a recycling project.,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It explains how our class ran a recycling project.,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
59,213,50,13,Which statement best summarizes this passage?,It argues that homework should be banned.,It explains how our class ran a recycling project.,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It explains how our class ran a recycling project.,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
60,301,1,1,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Literal,1,FALSE,0,3,What is the best title for this passage?
61,301,2,1,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mina and alex worked hard on their science project..,"It lists random, unrelated facts.",It explains mina and alex worked hard on their science project..,Literal,1,FALSE,0,3,", 'What is the main idea of the passage about nan?"
62,301,3,1,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Literal,1,FALSE,0,3,What is the best title for this passage?
63,301,4,1,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Vocabulary,1,FALSE,0,3,What is the best title for this passage?
64,301,5,1,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1,FALSE,0,3,", 'What is the main idea of the passage about nan?"
65,401,1,1,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains ben sat at the lunch table, staring at the yellow.","It lists random, unrelated facts.","It explains ben sat at the lunch table, staring at the yellow.",Literal,1,FALSE,0,4,", 'What is the main idea of the passage about nan?"
66,401,2,1,What important decision does the main character make?,to help someone,to hide the truth,to skip homework,to travel,to help someone,Detail,1,FALSE,0,4,What important decision does the main character make?
67,401,3,1,What does the word 'bright' most likely mean in this story?,full of light,angry,quiet,fast,full of light,Vocabulary,1,FALSE,0,4,"Replace 'bright' with a word that appears in the passage, or rewrite the question to use passage vocabulary."
68,401,4,1,What is the author's main purpose in this passage?,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To entertain with a fantasy story.,To inform readers about a topic.,Inference,1,FALSE,0,4,", 'What is the main idea of the passage about nan?"
69,401,5,1,What is the main lesson or theme of the story?,honesty,teamwork,kindness,bravery,kindness,Theme,1,FALSE,0,4,What is the main lesson or theme of the story?
70,501,1,1,Where does most of the story 'The Promise at the River' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,FALSE,0,5,Where does most of the story 'The Promise at the River' take place?
71,501,2,1,What decision changes the main character’s path in 'The Promise at the River'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1,FALSE,0,5,What decision changes the main character’s path in 'The Promise at the River'?
72,501,3,1,"In 'The Promise at the River', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1,FALSE,0,5,"In 'The Promise at the River', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
73,501,4,1,Why does the main character act differently near the end of 'The Promise at the River'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1,FALSE,0,5,Why does the main character act differently near the end of 'The Promise at the River'?
74,501,5,1,What is the central theme of 'The Promise at the River'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1,FALSE,0,5,What is the central theme of 'The Promise at the River'?
75,501,6,1,How does the author make the ending of 'The Promise at the River' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1,FALSE,0,5,How does the author make the ending of 'The Promise at the River' powerful?
76,502,7,2,Where does most of the story 'The Secret Notebook' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,FALSE,0,5,Where does most of the story 'The Secret Notebook' take place?
77,502,8,2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains when leenaõs grandfather passed away, the house felt full of.","It explains when leenaõs grandfather passed away, the house felt full of.",Literal,1,FALSE,0,5,", 'What is the main idea of the passage about nan?"
78,502,9,2,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Vocabulary,1,FALSE,0,5,What is the best title for this passage?
79,502,10,2,What is the author's main purpose in this passage?,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To entertain with a fantasy story.,To inform readers about a topic.,Inference,1,FALSE,0,5,", 'What is the main idea of the passage about nan?"
80,502,11,2,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Literal,1,FALSE,0,5,What is the best title for this passage?
81,502,12,2,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Literal,1,FALSE,0,5,What is the best title for this passage?
82,503,13,3,Where does most of the story 'The Music Box' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,FALSE,0,5,Where does most of the story 'The Music Box' take place?
83,503,14,3,What decision changes the main character’s path in 'The Music Box'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1,FALSE,0,5,What decision changes the main character’s path in 'The Music Box'?
84,503,15,3,"In 'The Music Box', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1,FALSE,0,5,"In 'The Music Box', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
85,503,16,3,Why does the main character act differently near the end of 'The Music Box'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1,FALSE,0,5,Why does the main character act differently near the end of 'The Music Box'?
86,503,17,3,What is the central theme of 'The Music Box'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1,FALSE,0,5,What is the central theme of 'The Music Box'?
87,503,18,3,How does the author make the ending of 'The Music Box' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1,FALSE,0,5,How does the author make the ending of 'The Music Box' powerful?
88,504,19,4,Where does most of the story 'The Bridge at East Gate' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,FALSE,0,5,Where does most of the story 'The Bridge at East Gate' take place?
89,504,20,4,What decision changes the main character’s path in 'The Bridge at East Gate'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,FALSE,0,5,What decision changes the main character’s path in 'The Bridge at East Gate'?
90,504,21,4,"In 'The Bridge at East Gate', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,FALSE,0,5,"In 'The Bridge at East Gate', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
91,504,22,4,Why does the main character act differently near the end of 'The Bridge at East Gate'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,FALSE,0,5,Why does the main character act differently near the end of 'The Bridge at East Gate'?
92,504,23,4,What is the central theme of 'The Bridge at East Gate'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,FALSE,0,5,What is the central theme of 'The Bridge at East Gate'?
93,504,24,4,How does the author make the ending of 'The Bridge at East Gate' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2,FALSE,0,5,How does the author make the ending of 'The Bridge at East Gate' powerful?
94,505,25,5,Where does most of the story 'The Protest Tree' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,FALSE,0,5,Where does most of the story 'The Protest Tree' take place?
95,505,26,5,What decision changes the main character’s path in 'The Protest Tree'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,FALSE,0,5,What decision changes the main character’s path in 'The Protest Tree'?
96,505,27,5,"In 'The Protest Tree', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,FALSE,0,5,"In 'The Protest Tree', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
97,505,28,5,Why does the main character act differently near the end of 'The Protest Tree'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,FALSE,0,5,Why does the main character act differently near the end of 'The Protest Tree'?
98,505,29,5,What is the central theme of 'The Protest Tree'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,FALSE,0,5,What is the central theme of 'The Protest Tree'?
99,505,30,5,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,"In The summer of 1963, the",A Day at the Beach,"In The summer of 1963, the",Literal,2,FALSE,0,5,What is the best title for this passage?
100,506,31,6,Where does most of the story 'The Tunnel Light' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3,FALSE,0,5,Where does most of the story 'The Tunnel Light' take place?
